name,role,presence,show,num_shows
 Carlos C. Duarte,Series Stunts,"            stunt double: Navid Negahban (4 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Carlos Chavez,Series Camera and Electrical Department,            best boy grip: second unit (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Carlos Henriques,Series Special Effects by,"            special effects makeup (2 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Carlos Hernandez,Series Camera and Electrical Department,"            lighting technician: second unit (8 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Carlos López Estrada,Series Directed by,"            (1 episode, 2019)          ",Legion                  (2017–2019),35
 Carlos Park,Series Special Effects by,"            special effects technician (1 episode, 2021)          ",WandaVision                  (2021),35
 Carlton Coleman,Series Makeup Department,"            special makeup effects artist / makeup artist: KNB FX Group (3 episodes, 2018)          ",Legion                  (2017–2019),35
 Carly Cheung,Series Visual Effects by,"            digital compositor (1 episode, 2021)          ",WandaVision                  (2021),35
 Carly Plasha,Series Additional Crew,"            assistant to Matt Shakman (9 episodes, 2021)          ",WandaVision                  (2021),35
 Carly Schoepflin,Series Additional Crew,"            Travel Coordinator (9 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Carmela Nossa Guizzo,Young Amy (4 yrs),"1 episode, 2017                        ",Legion                  (2017–2019),35
 Carmine Agnone,Series Visual Effects by,"            Lead Layout: ILM TV (1 episode, 2021)          ",WandaVision                  (2021),35
 Carol Banker,Series Directed by,"            (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Carol Case,Series Costume Design by,"            (8 episodes, 2017)          ",Legion                  (2017–2019),35
 Carolina Sapina,Series Costume and Wardrobe Department,"            key costumer (4 episodes, 2021)          ",WandaVision                  (2021),35
 Carolina Wong,Series Costume and Wardrobe Department,"            set costumer: principals (4 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Caroline Bible,Series Additional Crew,"            production assistant (2 episodes, 2019)          ",Legion                  (2017–2019),35
 Caroline Chege,Series Additional Crew,"            second assistant accountant / 2nd Assistant Accountant (9 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Caroline Monge,Series Makeup Department,"            makeup artist (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Caroline Oelkers,Series Camera and Electrical Department,"            loader (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Carrie Grace,Series Costume Design by,"['            (16 episodes, 2019-2020)          '
 '            (1 episode, 2020)          ']",Doom Patrol                  (2019– ),37
 Carrie L. Smith,Series Visual Effects by,"            visual effects artist / visual effects (19 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Carrie Perry,Series Sound Department,"            scheduling (2 episodes, 2021)          ",WandaVision                  (2021),35
 Carrie Richardson,Series Visual Effects by,"            supervising visual effects producer: Spin VFX (17 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Carson Durven,Greyhound Driver,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Carson Minniear,Young Gary Trainor,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Carter Jenkins,Johnny Bills,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Cary Simon,Series Sound Department,"            sound utility: second unit (4 episodes, 2021)          ",WandaVision                  (2021),35
 Casey Ann Zeller,Series Stunts,"            stunts (2 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Casey Coles,Series Camera and Electrical Department,"            lighting technician (8 episodes, 2017-2018)          ",Legion                  (2017–2019),35
 Casey Hendershot,Skinhead #1,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Casey Loper,Series Transportation Department,"            dot administrator (3 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Casey Nelson,Bureau Agent,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Casey Stone,Series Music Department,"            score mixer (6 episodes, 2021)          ",WandaVision                  (2021),35
 Cassidy Kahler,Series Stunts,"            Stunt Double: Scarlet Harlot (1 episode, 2020)          ",Doom Patrol                  (2019– ),37
 Cassidy Watkins,Series Additional Crew,"            clearance coordinator (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Cassie Hay,Series Additional Crew,"            production accountant (15 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Cate Jones,Young Marilyn,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Catherine Carlen,Dr. Harrison,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Catherine Therrien,Series Visual Effects by,"            visual effects coordinator: Folks (1 episode, 2017)          ",Legion                  (2017–2019),35
 Cayce Bower,Series Additional Crew,            production assistant (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Cazzie David,Jayme,1 episode                        ,The Umbrella Academy                  (2019– ),46
 Cecelia Backiel,Series Art Department,"            art production assistant (9 episodes, 2021)          ",WandaVision                  (2021),35
 Cecilia Johnson,Series Stunts,"['            stunt performer (1 episode, 2019)          '
 '            stunt double: Stephanie Corneliussen (1 episode, 2019)          ']","['Doom Patrol                  (2019– )'
 'Legion                  (2017–2019)']",2
 Cecily Flannery,Series Produced by,"            coordinating producer (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Cedwan Hooks,['Puppeteer' 'Series Art Department'],"['1 episode, 2019                        '
 '            puppet shop supervisor (uncredited) (unknown episodes)          ']",Doom Patrol                  (2019– ),37
 Celest Chong,Mandarin Woman,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Celeste Marcone,Teacher,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Celine Zoleta,Series Visual Effects by,"            visual effects producer: MARZ VFX (6 episodes, 2021)          ",WandaVision                  (2021),35
 Cesar Dacol Jr.,Series Visual Effects by,"            creature art director (2 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Ceswanne Lewis,Series Camera and Electrical Department,"            video assist utility (9 episodes, 2021)          ",WandaVision                  (2021),35
 Chad Audino,Series Sound Department,"            Sound Utility (3 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Chad Bennett,Series Stunts,"            Stunt Double: Agent Monti (1 episode, 2021)          ",WandaVision                  (2021),35
 Chad Bowman,Series Stunts,"            utility stunt performer / utility stunts (6 episodes, 2021)          ",WandaVision                  (2021),35
 Chad C. Barrow,Series Camera and Electrical Department,"            rigging key grip: additional photography (6 episodes, 2021)          ",WandaVision                  (2021),35
 Chad Cortvriendt,Series Visual Effects by,            visual effects producer (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chad Cosgrave,Series Stunts,"            stunt performer (1 episode, 2017)          ",Legion                  (2017–2019),35
 Chad Guerrero,Series Stunts,            stunt player (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chad J. Wagner,Beardgasm,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Chad Nixon,Series Visual Effects by,"            executive visual effects producer: Rodeo FX (7 episodes, 2021)          ",WandaVision                  (2021),35
 Chad Pierce,Series Art Department,"            on-set greens (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Chad Reder,Series Visual Effects by,            digital compositor (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chad Wiebe,Series Visual Effects by,"            additional visual effects supervisor: ILM (3 episodes, 2021)          ",WandaVision                  (2021),35
 Chaeli Koda,Levitating Kid,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Chana Klein,Series Casting Department,"            extras casting assistant (6 episodes, 2021)          ",WandaVision                  (2021),35
 Changmin Lee,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Chantelle Barry,Baphomet,"2 episodes, 2019                        ",Doom Patrol                  (2019– ),37
 Chantelle Kilpatrick,Series Additional Crew,"            assistant: Jeff King (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Chao Chun Chou,Series Visual Effects by,"            Visualization Artist / Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Charissa Sanjarernsuithikul,Series Film Editing by,"            (3 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Charity Cervantes,Isabel Feathers,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Charles B. Unger,Series Editorial Department,"            assistant editor (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Charles C.K. Johnson Jr.,Series Thanks,"['            digital producer (24 episodes, 2019-2020)          '
 '            digital producer (9 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Charles Cameron,Young Klaus Age 8,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Charles Cooley,Series Special Effects by,"            special effects technician / special effects technician: Los Angeles (6 episodes, 2021)          ",WandaVision                  (2021),35
 Charles G. Roberts,Series Visual Effects by,"            visual effects coordinator (1 episode, 2017)          ",Legion                  (2017–2019),35
 Charles Gariepy,Series Visual Effects by,"['            cg artist: Folks (1 episode, 2017)          '
 '            visual effects artist (2 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Charles Grisham,Series Stunts,"            utility stunt performer (2 episodes, 2021)          ",WandaVision                  (2021),35
 Charles Jarman,Cube Police #1,"1 episode, 2017                        ",Legion                  (2017–2019),35
 Charles Labbé,Series Visual Effects by,"            composition supervisor: Rodeo FX (7 episodes, 2021)          ",WandaVision                  (2021),35
 Charles O'Shea,Series Sound Department,            boom operator (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Charles Remley III,Series Additional Crew,"            military advisor (1 episode, 2019)          ",Legion                  (2017–2019),35
 Charles Yu,['Series Writing Credits' 'Series Produced by'],"['            (written by) (1 episode, 2019)          '
 '            co-producer (8 episodes, 2019)          ']",Legion                  (2017–2019),35
 Charles de Lauzirika,Series Additional Crew,"            EPK field producer (6 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Charles-Antoine Duval,Series Additional Crew,"            set medic / medical consultant (7 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Charlie Farrell,Pilot,"1 episode, 2019                        ",Legion                  (2017–2019),35
 Charlie Jaramillo,Series Art Department,"            greensman: los angeles (11 episodes, 2018)          ",Legion                  (2017–2019),35
 Charlie McDowell,Series Directed by,"            (1 episode, 2018)          ",Legion                  (2017–2019),35
 Charlotte Balogh,Series Additional Crew,"            Assistant to Executive Producer (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Charmaine Balcerzak,Series Makeup Department,"            hair stylist / additional hair stylist (9 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Charmaine Clark,Series Makeup Department,"            hair stylist (1 episode, 2017-2018)          ",Legion                  (2017–2019),35
 Charmin Lee,Elinore Stone,"3 episodes, 2019                        ",Doom Patrol                  (2019– ),37
 Chase Commins,Series Editorial Department,"            dailies operator (4 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Chase Paris,Series Casting Department,"            casting: Atlanta (15 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Chase Schultz,Series Camera and Electrical Department,"            second assistant camera (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Chase Yarbrough,Series Camera and Electrical Department,"            lighting technician (12 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Chase Yi,EMT,"1 episode, 2021                        ",WandaVision                  (2021),35
 Chawana Jones,Series Makeup Department,"            makeup artist (2 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Chaz Pizani,Series Visual Effects by,"            visual effects producer (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Che Spencer,Series Visual Effects by,"            associate visual effects producer: Monsters Aliens Robots Zombies (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Che Yen Chuang,Series Visual Effects by,"            Matte Painter: Spin (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Cheli Clayton,Series Camera and Electrical Department,"            first assistant camera: ""b"" camera (7 episodes, 2019)          ",Legion                  (2017–2019),35
 Chelsea Alana Rivera,Silver Tongue,"2 episodes, 2019-2020                        ",Doom Patrol                  (2019– ),37
 Chelsea Babcock,Series Additional Crew,            additional set production assistant (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chelsea Bruland,Small Woman,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Chelsea Craig,Series Camera and Electrical Department,"            second ac day player (5 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Chelsea Graham,Series Costume and Wardrobe Department,"            wardrobe assistant: Canada (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Chelsea McClinton,Series Art Department,"            props person (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Chelsea Motherwell,Series Costume and Wardrobe Department,"            costume coordinator (9 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Chelsea Rodenroth,Series Additional Crew,"['            office production assistant (4 episodes, 2020)          '
 '            office production assistant: pre-production (1 episode, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Chemagne Martin,Series Additional Crew,"            photo double (4 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Chengwei Zheng,Series Visual Effects by,"            digital matte painter: Pixomondo (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Cheri Adams,Cheerleader Mom,unknown episodes                        ,Legion                  (2017–2019),35
 Cherie D'Elia,Paparazzi #3,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Cherie Kroll,Series Art Department,            assistant art director (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Cheryl Lewis,Series Stunts,"            stunt double: Teyonah Parris (1 episode, 2021)          ",WandaVision                  (2021),35
 Chia Yu Shih,Series Visual Effects by,"            Compositor: Digital Domain (1 episode, 2021)          ",WandaVision                  (2021),35
 Chieh Deng,Series Visual Effects by,"            digital compositor (1 episode, 2021)          ",WandaVision                  (2021),35
 Chika Saito,Series Visual Effects by,"            visual effects (6 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Chikako Suzuki,Series Art Direction by,"            (6 episodes, 2021)          ",WandaVision                  (2021),35
 Chloe Dawn Campbell,Series Additional Crew,"            Assistant Production Coordinator (13 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Chloe Ernsberger,Singing Girl #1,"1 episode, 2018                        ",Legion                  (2017–2019),35
 Chloé Ostiguy,Series Visual Effects by,"            fx artist: Folks VFX (4 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Choppy Guillotte,Asa Diamonds,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Chris 'Chalky' Chalk,Series Camera and Electrical Department,"            Lighting Programmer (6 episodes, 2021)          ",WandaVision                  (2021),35
 Chris A. Peterson,Series Film Editing by,"            (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Chris A. Wilson,Series Visual Effects by,"            visual effects artist (7 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Chris Adams,Series Camera and Electrical Department,"            Video Playback Engineer (9 episodes, 2021)          ",WandaVision                  (2021),35
 Chris Arnold,Series Art Department,"            set designer (2 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Chris Barnes,Series Art Department,"            lead painter / paint foreman (11 episodes, 2018)          ",Legion                  (2017–2019),35
 Chris Brands,Series Editorial Department,"            supervising dailies engineer (9 episodes, 2021)          ",WandaVision                  (2021),35
 Chris Brewster,Series Stunts,"            stunt performer / stunts (2 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Chris Burket,Series Camera and Electrical Department,"            second assistant camera (11 episodes, 2018)          ",Legion                  (2017–2019),35
 Chris Burns,Series Costume and Wardrobe Department,"            Specialty Costumer (3 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Chris Cavanaugh,Series Camera and Electrical Department,"            digital imaging technician (18 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Chris Claremont,Series Writing Credits,"            (based on the Marvel comics by) (27 episodes, 2017-2019)          ",Legion                  (2017–2019),35
 Chris Cox,Series Visual Effects by,"            head of cg: Spin VFX (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Chris Dawson,Series Visual Effects by,"            visual effects artist (4 episodes, 2019)          ",Legion                  (2017–2019),35
 Chris Denison,Series Stunts,            stunt performer (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chris Dewolde,Series Editorial Department,"            dailies supervisor (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Chris Dingess,['Series Writing Credits' 'Series Produced by'],"['            (written by) (4 episodes, 2019-2020)          '
 '            executive producer (19 episodes, 2019-2020)          ']",Doom Patrol                  (2019– ),37
 Chris Dodge,Series Location Management,"            key assistant location manager / Location Manager (6 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Chris Donio,Series Costume and Wardrobe Department,"            Specialty Costumer (1 episode, 2021)          ",WandaVision                  (2021),35
 Chris Fountain,Series Camera and Electrical Department,"            Grip (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Chris Freihofer,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Chris Giles,Series Sound Department,"            sound mixer (9 episodes, 2021)          ",WandaVision                  (2021),35
 Chris Gleason,Series Transportation Department,"            driver / unit driver (2 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Chris Hall,Series Sound Department,"            sound utility: Los Angeles (6 episodes, 2021)          ",WandaVision                  (2021),35
 Chris Hatchwell,Series Special Effects by,            special efffects shop foreman (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chris John Jones,Series Visual Effects by,"            Creative Director: Zoic Studios (6 episodes, 2021)          ",WandaVision                  (2021),35
 Chris Large,Series Camera and Electrical Department,            still photographer (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chris Larsen,Series Art Department,            set dresser (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chris Lyons-Uhlenbrauck,Series Visual Effects by,"            roto/paint artist (1 episode, 2018)          ",Legion                  (2017–2019),35
 Chris MacLean,Series Visual Effects by,"            visual effects supervisor: Mr. X (1 episode, 2017)          ",Legion                  (2017–2019),35
 Chris Manley,['Series Directed by' 'Series Produced by' 'Series Cinematography by'],"['            (3 episodes, 2019-2020)          '
 '            producer (4 episodes, 2020)          '
 '            (2 episodes, 2019)          ']",Doom Patrol                  (2019– ),37
 Chris Mayers,Guy #1,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Chris McCleneghan,Series Camera and Electrical Department,            rigging grip (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chris Moss,Shadow Dancer,unknown episodes                        ,Legion                  (2017–2019),35
 Chris Murphy,Series Camera and Electrical Department,"            b camera operator: second unit (6 episodes, 2021)          ",WandaVision                  (2021),35
 Chris Navarro,Series Sound Department,            adr mixer (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chris Nichols,Series Visual Effects by,"            Concept Artist (6 episodes, 2021)          ",WandaVision                  (2021),35
 Chris Paré,Series Camera and Electrical Department,"            data management technician (20 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Chris Powell,Series Sound Department,"            sound mixer (5 episodes, 2019)          ",Legion                  (2017–2019),35
 Chris Prynoski,Series Animation Department,"            executive producer: TITMOUSE INC. (1 episode, 2021)          ",WandaVision                  (2021),35
 Chris Reid,Series Stunts,"            stunt double: Dan Stevens (1 episode, 2019)          ",Legion                  (2017–2019),35
 Chris Romrell,Series Stunts,"            stunts (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Chris Ryan,Series Visual Effects by,            cg supervisor (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chris Samp,Series Art Department,"            Stand-by Painter (1 episode, 2021)          ",WandaVision                  (2021),35
 Chris Scharffenberg,Series Art Department,            assistant props (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chris Tarpos,Fight Club Goer,unknown episodes                        ,The Umbrella Academy                  (2019– ),46
 Chris Tongue,Series Produced by,"            co-producer (11 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Chris Whiteside,Series Sound Department,"            adr mixer (2 episodes, 2019)          ",Legion                  (2017–2019),35
 Chrisser Alvarez,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Chrissy Bonilla,Naked Woman,"1 episode, 2018                        ",Legion                  (2017–2019),35
 Christa Tazzeo,Series Visual Effects by,"            visual effects executive producer (20 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Christa del Castillo,Series Additional Crew,"            1st Assistant Accountant (8 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Christian Bobak,Series Additional Crew,            Craft Service 6-Hour Compliance Driver (uncredited) / craft server (uncredited) (unknown episodes)          ,The Umbrella Academy                  (2019– ),46
 Christian Buenaventura,Series Sound Department,"            dialogue editor (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Christian Carlos Camacho del Carpio,Series Visual Effects by,"            prep artist: Rodeo FX (4 episodes, 2021)          ",WandaVision                  (2021),35
 Christian Convery,David (4 Yrs),"3 episodes, 2017                        ",Legion                  (2017–2019),35
 Christian Cordella,Series Costume and Wardrobe Department,"            costume concept artist (1 episode, 2019)          ",Legion                  (2017–2019),35
 Christian Dahlberg,Series Visual Effects by,"            digital artist (5 episodes, 2021)          ",WandaVision                  (2021),35
 Christian Hardy,Series Camera and Electrical Department,"            Technocrane Technician (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Christian Lloyd,Kyle (Orderly),"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Christian Moreton,Series Visual Effects by,"['            lead compositor (1 episode, 2017)          '
 '            lead compositor (1 episode, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Christian Morin,Series Visual Effects by,"            digital compositor (1 episode, 2021)          ",WandaVision                  (2021),35
 Christian Pinedo,Series Visual Effects by,"            FX Supervisor: Encore VFX (24 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Christian Poullay,Series Visual Effects by,"            camera technical director (5 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Christian Wunsch,Series Visual Effects by,"            digital compositor: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Christian Zeiler,['Series Art Department' 'Series Visual Effects by'],"['            senior motion graphic designer (uncredited) (unknown episodes)          '
 '            digital compositor: FuseFX (1 episode, 2017-2018)          ']",Legion                  (2017–2019),35
 Christina Pitts Jazzar,Series Additional Crew,"            choreographer (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Christine Bergren,Series Music Department,"            music clearance and legal (6 episodes, 2021)          ",WandaVision                  (2021),35
 Christine Casaus,Series Costume and Wardrobe Department,"            costumer (6 episodes, 2021)          ",WandaVision                  (2021),35
 Christine Cleary,['Commission Agent #4' 'Series Stunts'],"['1 episode, 2020                        '
 '            stunt double: Sloane / stunt performer / stunt rigger (2 episodes, 2020)          ']",The Umbrella Academy                  (2019– ),46
 Christine Galvan,Series Visual Effects by,            visual effects coordinator (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Christine Greene Roe,Series Music Department,"['            music coordinator (21 episodes, 2017-2019)          '
 '            music supervisor (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Christine Horn,Dr. Orwell,"2 episodes, 2018                        ",Legion                  (2017–2019),35
 Christine Renaud,Darcy Double,"3 episodes, 2021                        ",WandaVision                  (2021),35
 Christoph Hasche,Series Visual Effects by,"            digital compositor: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Christoph Salzmann,Series Visual Effects by,"            composition supervisor: Rodeo FX (7 episodes, 2021)          ",WandaVision                  (2021),35
 Christophe Beck,Series Music by,"            (9 episodes, 2021)          ",WandaVision                  (2021),35
 Christophe Robert,Series Visual Effects by,"            visual effects artist (2 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Christophe Sayaveth,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Christopher Ahrens,Series Visual Effects by,            cg supervisor: Folks (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Christopher Allen Nelson,Series Makeup Department,            special makeup effects artist (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Christopher Almon,Series Stunts,"            stunt driver (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Christopher Ammanuel,College Student,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Christopher Brady Thomas,Series Visual Effects by,"            Visualization Coordinator: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Christopher Burkhart,Series Art Department,"            set designer / set dresser (9 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Christopher Chung,Series Camera and Electrical Department,"            underwater camera technician (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Christopher Clements,Series Stunts,"            stunt pre-viz (2 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Christopher Cocke,Spectator,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Christopher Collins,Wall Street Frat Boy,"1 episode, 2018                        ",Legion                  (2017–2019),35
 Christopher Cordell,['Officer #2' 'Series Stunts'],"['1 episode, 2020                        '
 '            stunt double: David Castañeda (1 episode, 2020)          ']",The Umbrella Academy                  (2019– ),46
 Christopher Duskin,Series Camera and Electrical Department,"            c camera operator: los angeles / c-camera operator: los angelas unit (9 episodes, 2021)          ",WandaVision                  (2021),35
 Christopher E. King,Series Visual Effects by,"            visual effects production assistant (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Christopher Edwards,Series Visual Effects by,"            Visualization Executive Producer: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Christopher Gay,Cop #2,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Christopher Hargadon,Series Costume Design by,"            (20 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Christopher Hosey,Series Camera and Electrical Department,"            digital utility: los angeles 2nd unit / Camera Utility (9 episodes, 2021)          ",WandaVision                  (2021),35
 Christopher Hönninger,Series Visual Effects by,"            fx artist: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Christopher James,Blip Back Person,"1 episode, 2021                        ",WandaVision                  (2021),35
 Christopher Kusiak,Series Location Management,"            location manager: los angeles (9 episodes, 2021)          ",WandaVision                  (2021),35
 Christopher Larsen,Series Camera and Electrical Department,"            first assistant camera: ""A"" Camera/Steadicam / first assistant ""a"" camera (7 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Christopher Lee Zammit,Series Visual Effects by,"            art director (1 episode, 2021)          ",WandaVision                  (2021),35
 Christopher M. Ray,Series Editorial Department,            colorist: dailies (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Christopher Mullis,Fireman,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Christopher Pritzlaff,Series Camera and Electrical Department,"            lighting technician (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Christopher Rook,Series Special Effects by,"            special effects technician (1 episode, 2021)          ",WandaVision                  (2021),35
 Christopher Schmitt,Series Editorial Department,"            assistant editor (6 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Christopher Smitty Smith,Series Camera and Electrical Department,"            dolly grip (2 episodes, 2019)          ",Legion                  (2017–2019),35
 Christopher Stack,Series Visual Effects by,"            visual effects coordinator (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Christopher Takacs,Series Camera and Electrical Department,"            rigging gaffer (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
