name,role,presence,show,num_shows
 Nadia Lorencz,Series Stunts,"['            Stunt Double: Samantha Marie Ware (1 episode, 2020)          '
 '            stunt double: Teyonah Parris / stunt performer: Witch / utility stunt performer (5 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Nadine Frève,Series Visual Effects by,"['            visual effects editor: Folks (2 episodes, 2017)          '
 '            visual effects editor: Folks (9 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Natalie Watson,['Series Additional Crew' 'Series Editorial Department'],"['            finishing: Production Coordinator (15 episodes, 2019)          '
 '            dailies supervisor (1 episode, 2017)          ']","['Doom Patrol                  (2019– )'
 'Legion                  (2017–2019)']",2
 Nathaniel Larouche,Series Visual Effects by,"['            visual effects supervisor (1 episode, 2021)          '
 '            visual effects supervisor: MARZ VFX / visual effects supervisor: MARZ VFZ (9 episodes, 2019)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Neishaw Ali,Series Visual Effects by,"['            vfx executive producer (uncredited) (unknown episodes)          '
 '            visual effects executive producer (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Nick Barros,Series Camera and Electrical Department,"['            grip (2 episodes, 2020)          '
 '            Rigging grip (6 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Nick D. Allin,Series Camera and Electrical Department,"['            grip (1 episode, 2020)          '
 '            grip (2 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Noelle Therese Mulligan,Series Stunts,"['            stunt performer / stunt performer: SWORD Tactical Team / stunt performer: Witch (1 episode, 2021)          '
 '            stunts (uncredited) (unknown episodes)          ']","['WandaVision                  (2021)'
 'Legion                  (2017–2019)']",2
 Patrick King,Series Camera and Electrical Department,"['            Fixture Lighting Technician (1 episode, 2021)          '
 '            ""a"" dolly grip / ""a"" dolly operator (10 episodes, 2019)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Perrine Virgile,['Series Music Department' 'Series Music by'],"['            scoring assistant (1 episode, 2017-2018)          '
 '            (10 episodes, 2020)          '
 '            composer: additional music (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Perunika Yorgova,Series Visual Effects by,"['            digital compositor (2 episodes, 2021)          '
 '            digital compositor (20 episodes, 2019-2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Peter Bas,Series Visual Effects by,"['            compositor (2 episodes, 2017)          '
 '            compositor (5 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Richard Rodrigues,Series Visual Effects by,"['            compositor (2 episodes, 2017)          '
 '            digital compositor / digital compositor: Deluxe (2 episodes, 2019-2020)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Rick Marcus,Series Stunts,"['            stunt performer (1 episode, 2019)          '
 '            stunt performer: SWORD Technician / utility stunt performer (2 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Rico Burgos,Series Stunts,"['            utility stunt performer / utility stunts (7 episodes, 2021)          '
 '            utility stunts (uncredited) (unknown episodes)          ']","['WandaVision                  (2021)'
 'Legion                  (2017–2019)']",2
 Robert Murdoch,['Series Location Management' 'Series Camera and Electrical Department'],"['            location manager (7 episodes, 2017)          '
 '            camera trainee (5 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Ryan Freer,Series Visual Effects by,"['            visual effects supervisor: MARZ (6 episodes, 2021)          '
 '            visual effects supervisor: MARZ VFX (10 episodes, 2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Ryan Riegner,Series Camera and Electrical Department,"['            lighting console programmer: second unit (15 episodes, 2019)          '
 '            DMX Technician: second unit (6 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Ryan Stasyshyn,Series Visual Effects by,"['            visual effects producer: MARZ VFX (3 episodes, 2021)          '
 '            visual effects producer: MARZ VFX (20 episodes, 2019-2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Ryo Oami,Series Visual Effects by,"['            compositor: MARZ VFX (6 episodes, 2021)          '
 '            compositor: MARZ VFX (1 episode, 2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Samantha Merten,Series Location Management,"['            location scout (9 episodes, 2020)          '
 '            location scout (6 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Samuel Coudry-Lemay,Series Visual Effects by,"['            cg artist (2 episodes, 2017)          '
 '            animator (1 episode, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Samuel Lucas,Series Music Department,"['            composer assistant (1 episode, 2017)          '
 '            score editor / score editor/additional orchestration (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Scott Montgomery,Series Camera and Electrical Department,"['            drone camera operator (10 episodes, 2019)          '
 '            drone camera operator (1 episode, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Simon Devault,Series Visual Effects by,"['            digital compositor: Folks (2 episodes, 2017)          '
 '            digital compositor: Folks (2 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Simon Rhee,Series Stunts,"['            stunt double: Randall Park (2 episodes, 2021)          '
 '            stunts (uncredited) (unknown episodes)          ']","['WandaVision                  (2021)'
 'Legion                  (2017–2019)']",2
 Stan Lee,['Series Writing Credits' 'Series Thanks' 'Series Produced by'],"['            (Wanda Maximoff created by) (5 episodes, 2021)          '
 '            special thanks (4 episodes, 2021)          '
 '            executive producer (26 episodes, 2017-2019)          ']","['WandaVision                  (2021)'
 'Legion                  (2017–2019)']",2
 Stephanie Landriault,Series Visual Effects by,"['            digital compositor (1 episode, 2017)          '
 '            digital compositor (3 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Steve Blackman,['Series Writing Credits' 'Series Produced by'],"['            (8 episodes, 2017)          '
 '            executive producer (4 episodes, 2017)          '
 '            (created for television by) (30 episodes, 2019-2020)          '
 '            (teleplay by) (30 episodes, 2019-2020)          '
 '            executive producer / executive producer: Showrunner (30 episodes, 2019-2020)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Steven Blizzard,Series Camera and Electrical Department,"['            Drone Pilot (2 episodes, 2021)          '
 '            drone pilot (1 episode, 2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Sébastien Bergeron,Series Visual Effects by,"['            visual effects supervisor: Folks (uncredited) (unknown episodes)          '
 '            visual effects supervisor: Folks (9 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Theo Kypri,Series Stunts,"['            utility stunt performer / stunts / utility stunts (5 episodes, 2021)          '
 '            stunts (uncredited) (unknown episodes)          ']","['WandaVision                  (2021)'
 'Legion                  (2017–2019)']",2
 Timothy Hanson,Series Visual Effects by,"['            visual effects supervisor: zoic studios (2 episodes, 2021)          '
 '            cg supervisor: zoic studios (uncredited) (unknown episodes)          ']","['WandaVision                  (2021)'
 'Legion                  (2017–2019)']",2
 Todd Desrosiers,Series Film Editing by,"['            (5 episodes, 2018-2019)          '
 '            (3 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Tony Carmean,Series Camera and Electrical Department,"            drone producer (1 episode, 2019)          ","['Doom Patrol                  (2019– )'
 'The Umbrella Academy                  (2019– )']",2
 Torey Lenart,Series Camera and Electrical Department,"['            digital utility (15 episodes, 2019)          '
 '            digital utility (9 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Tory Fay Wells,Series Costume and Wardrobe Department,"['            additional set costumer (9 episodes, 2020)          '
 '            set costumer (2 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Travis Reinke,Series Visual Effects by,"['            3d actor scanning (13 episodes, 2019)          '
 '            3d scanning and modeling (6 episodes, 2021)          '
 '            3d scanning and modeling (5 episodes, 2020)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",3
 Victoria Blade,['Millie' 'Commercial Woman'],"['1 episode, 2019                        '
 '5 episodes, 2021                        ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Vineshh Vickinadas,Series Visual Effects by,"['            digital compositor (uncredited) (unknown episodes)          '
 '            digital compositor / digital compositor: visual effects (20 episodes, 2019-2020)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 William Albu,Series Visual Effects by,"['            digital compositor: Folks (2 episodes, 2017)          '
 '            digital compositor: Folks (1 episode, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Yael Majors,Series Visual Effects by,"['            visual effects supervisor (2 episodes, 2020)          '
 '            assistant visual effects supervisor (2 episodes, 2019)          ']","['Doom Patrol                  (2019– )'
 'The Umbrella Academy                  (2019– )']",2
 Zac Henry,['Beekeeper' 'Series Stunts'],"['2 episodes, 2021                        '
 '            Stunt rigging coordinator / stunt rigging coordinator (9 episodes, 2021)          '
 '            stunt performer (2 episodes, 2019)          ']","['WandaVision                  (2021)'
 'Legion                  (2017–2019)']",2
